date,value
2022-09-29T02:48:12Z,306
2022-09-30T03:04:24Z,306
2022-10-01T03:01:31Z,306
2022-10-02T02:52:50Z,306
2022-10-03T02:20:42Z,306
2022-10-04T02:30:08Z,306
2022-10-05T02:29:01Z,306
2022-10-06T06:53:13Z,306
2022-10-07T02:40:31Z,306
2022-10-08T02:18:23Z,306
2022-10-09T02:41:16Z,306
2022-10-10T02:43:13Z,306
2022-10-11T02:38:14Z,306
2022-10-12T02:50:41Z,306
2022-10-13T02:43:09Z,306
2022-10-14T02:54:18Z,306
2022-10-15T02:49:55Z,306
2022-10-16T02:54:49Z,306
2022-10-17T02:56:48Z,306
2022-10-18T02:48:17Z,306
2022-10-19T02:45:16Z,306
2022-10-20T02:46:20Z,306
2022-10-20T21:43:10Z,306
2022-10-22T02:31:17Z,306
2022-10-23T02:45:04Z,306
2022-10-24T02:57:24Z,306
2022-10-25T02:50:40Z,306
2022-10-26T02:26:15Z,306
2022-10-27T02:22:43Z,306
2022-10-28T02:35:50Z,306
2022-10-29T02:16:14Z,306
2022-10-30T02:39:15Z,306
2022-10-31T02:40:00Z,306
2022-11-01T02:45:25Z,306
2022-11-02T02:38:05Z,306
2022-11-03T02:19:16Z,306
2022-11-04T13:04:19Z,306
2022-11-05T02:16:32Z,306
2022-11-06T02:18:18Z,306
2022-11-07T02:14:37Z,306
2022-11-08T02:13:30Z,306
2022-11-09T02:25:05Z,306
2022-11-10T02:16:39Z,306
2022-11-11T02:17:03Z,306
2022-11-12T02:12:30Z,306
2022-11-13T02:11:39Z,306
2022-11-14T02:12:27Z,306
2022-11-14T18:46:41Z,306
2022-11-16T02:11:05Z,306
2022-11-17T02:09:53Z,306
2022-11-18T02:14:51Z,306
2022-11-19T02:09:17Z,306
2022-11-20T02:14:40Z,306
2022-11-21T02:11:03Z,306
2022-11-22T02:13:26Z,306
2022-11-23T02:00:35Z,306
2022-11-24T02:03:43Z,306
2022-11-25T02:00:50Z,306
2022-11-26T01:55:31Z,306
2022-11-27T02:06:18Z,306
2022-11-28T02:00:06Z,306
2022-11-29T01:59:07Z,306
2022-11-30T02:00:46Z,306
2022-12-01T02:11:22Z,306
2022-12-02T01:46:25Z,306
2022-12-03T01:42:36Z,306
2022-12-04T01:54:38Z,306
2022-12-05T01:46:52Z,306
2022-12-06T01:45:11Z,306
2022-12-07T01:55:04Z,306
2022-12-08T01:45:41Z,306
