date,value
2021-12-10T01:29:50Z,7
2021-12-11T01:25:47Z,7
2021-12-12T01:30:13Z,7
2021-12-13T01:29:48Z,7
2021-12-14T01:30:31Z,7
2021-12-15T01:29:32Z,7
2021-12-16T01:30:40Z,7
2021-12-17T01:30:49Z,7
2021-12-18T01:36:17Z,7
2021-12-19T01:33:56Z,7
2021-12-20T01:32:41Z,7
2021-12-21T01:35:05Z,7
2021-12-22T01:33:44Z,7
2021-12-23T01:34:01Z,7
2021-12-24T01:34:32Z,7
2021-12-25T01:34:03Z,7
2021-12-26T01:36:12Z,7
2021-12-27T01:33:49Z,7
2021-12-28T01:35:07Z,7
2021-12-29T01:33:58Z,7
2021-12-30T01:34:45Z,7
2021-12-31T01:36:25Z,7
2022-01-01T01:35:37Z,7
2022-01-02T01:37:13Z,7
2022-01-03T01:33:43Z,7
2022-01-04T01:36:12Z,7
2022-01-05T01:38:07Z,7
2022-01-06T01:41:52Z,7
2022-01-07T01:39:58Z,7
2022-01-08T01:35:10Z,7
2022-01-09T01:38:32Z,7
2022-01-10T01:34:18Z,7
2022-01-11T01:37:25Z,7
2022-01-13T01:39:23Z,7
2022-01-14T01:37:44Z,7
2022-01-15T01:34:42Z,7
2022-01-16T01:41:01Z,7
2022-01-17T01:01:08Z,7
2022-01-18T01:02:26Z,7
2022-01-19T00:59:13Z,7
2022-01-20T01:03:54Z,7
2022-01-21T00:56:46Z,7
2022-01-22T01:00:46Z,7
2022-01-23T01:00:14Z,7
2022-01-24T01:01:17Z,7
2022-01-25T01:05:12Z,7
2022-01-26T01:08:18Z,7
2022-01-27T00:57:18Z,7
2022-01-28T00:58:34Z,7
2022-01-29T00:59:04Z,7
2022-01-30T01:00:05Z,7
2022-01-31T01:00:23Z,7
2022-02-01T01:01:59Z,7
2022-02-02T01:04:27Z,7
2022-02-03T01:00:37Z,7
2022-02-04T01:04:02Z,7
2022-02-04T22:10:56Z,7
2022-02-05T22:10:41Z,7
2022-02-07T01:37:54Z,7
2022-02-08T01:42:38Z,7
2022-02-09T01:40:22Z,7
2022-02-10T01:39:39Z,7
2022-02-11T01:42:16Z,7
2022-02-12T01:43:25Z,7
2022-02-13T01:44:03Z,7
2022-02-14T01:40:21Z,7
2022-02-15T01:43:21Z,7
2022-02-16T01:38:32Z,7
2022-02-17T01:35:17Z,7
2022-02-17T22:14:11Z,7
2022-02-19T01:49:11Z,7
2022-02-20T01:50:37Z,7
2022-02-21T01:47:03Z,7
2022-02-22T01:48:23Z,7
2022-02-23T01:46:14Z,7
2022-02-24T01:44:19Z,7
2022-02-25T01:48:21Z,7
2022-02-26T01:47:30Z,7
2022-02-27T01:55:50Z,7
2022-02-27T22:20:36Z,7
2022-03-01T01:49:38Z,7
2022-03-02T01:51:49Z,7
2022-03-03T01:52:16Z,7
2022-03-04T01:19:05Z,7
2022-03-05T01:16:02Z,7
2022-03-06T01:13:37Z,7
2022-03-07T01:13:59Z,7
2022-03-08T01:08:00Z,7
2022-03-09T01:10:01Z,7
2022-03-10T01:16:23Z,7
2022-03-11T01:16:55Z,7
2022-03-12T01:10:08Z,7
2022-03-13T01:12:34Z,7
2022-03-14T01:13:04Z,7
2022-03-15T01:16:19Z,7
2022-03-16T01:15:40Z,7
2022-03-17T01:16:12Z,7
2022-03-17T21:34:43Z,7
2022-03-19T01:00:40Z,7
2022-03-20T01:04:54Z,7
2022-03-21T01:00:13Z,7
2022-03-23T01:05:31Z,7
2022-03-24T01:04:29Z,7
2022-03-25T01:05:05Z,7
2022-03-26T01:08:33Z,7
2022-03-27T01:05:42Z,7
2022-03-28T01:01:52Z,7
